Hardware_Capex,Data_Center_Power_MW,Cloud_GPU_Deployments,AI_Software_Revenue
330.91,42.86,86.92,987.76
763.04,102.34,95.2,1736.51
599.0,86.28,18.97,1020.04
498.99,81.7,93.03,1157.51
167.01,26.76,51.75,510.83
167.0,15.08,29.53,477.99
93.56,15.42,48.62,376.53
699.63,108.03,98.1,1464.99
500.84,68.05,51.8,1081.21
581.05,88.39,36.23,1147.86
65.44,10.28,65.17,371.87
777.43,107.47,27.81,1475.57
674.33,104.01,12.21,1212.26
209.25,35.87,17.24,474.55
186.37,36.62,17.16,462.5
187.55,36.56,19.43,453.73
278.18,30.71,18.19,571.91
443.57,59.03,65.88,983.81
373.96,60.21,22.28,901.48
268.42,44.37,37.84,639.71
508.89,80.45,90.19,1262.62
154.62,54.01,50.03,475.86
269.11,44.93,68.42,768.6
324.77,57.8,21.37,659.14
392.05,66.44,23.27,756.81
638.88,101.04,8.88,1107.59
199.76,27.44,21.05,454.05
435.68,71.42,31.47,863.86
494.31,67.96,21.82,915.19
84.84,10.83,13.43,227.35
505.66,71.97,16.46,945.7
177.89,27.34,48.77,566.77
98.79,33.34,24.6,245.28
761.66,99.31,39.61,1629.47
774.22,121.62,52.82,1713.8
656.3,85.54,70.59,1241.8
278.46,37.99,8.73,527.86
123.25,27.2,80.94,550.17
563.17,84.99,64.65,1135.92
380.11,48.4,12.77,691.73
141.53,15.51,87.99,600.38
421.38,68.64,92.48,1229.85
75.79,5.53,10.8,212.51
731.99,111.53,31.3,1551.65
244.08,36.98,81.59,798.64
546.89,76.82,76.08,1182.71
283.78,59.72,22.53,573.74
440.05,71.08,24.89,913.41
460.03,52.8,40.19,903.1
188.64,29.79,51.03,573.95
777.19,111.28,63.73,1595.22
631.35,101.52,40.05,1235.36
754.62,106.85,48.94,1606.14
721.12,107.25,76.01,1621.49
498.42,78.8,8.48,889.72
741.41,118.14,28.98,1545.32
116.37,7.85,72.77,502.74
196.99,26.87,90.04,744.52
83.92,8.79,53.61,393.57
294.0,38.87,55.55,743.31
341.51,65.35,15.18,684.47
253.51,41.27,47.5,603.13
671.55,90.65,55.6,1503.95
317.56,54.98,28.03,672.46
260.7,56.08,30.58,568.09
457.02,76.81,40.84,1044.51
155.69,11.2,6.91,310.83
651.65,93.87,35.6,1155.75
105.91,26.02,25.09,278.25
790.17,112.86,36.11,1607.14
629.18,97.93,16.38,1053.23
199.04,36.05,89.6,776.03
54.14,0.71,61.39,350.76
661.6,98.76,69.51,1612.91
580.14,61.09,79.97,1376.96
596.76,81.32,52.35,1259.25
628.45,92.25,13.26,1111.75
105.53,5.85,56.03,442.46
318.85,60.89,60.75,809.69
136.9,9.09,75.82,592.8
697.33,101.08,46.01,1425.63
517.47,78.67,17.12,997.27
298.17,56.26,31.96,645.16
97.67,3.16,39.49,356.36
283.24,51.79,66.36,787.46
293.89,44.16,59.22,693.42
597.2,81.73,38.83,1093.65
528.17,82.92,98.72,1388.0
715.41,108.9,62.55,1526.82
404.16,55.82,27.54,823.57
139.7,21.51,14.67,324.76
584.93,84.66,19.52,1144.14
620.59,94.0,28.37,1158.28
470.96,75.94,20.26,860.83
628.23,106.92,22.72,1211.7
420.35,53.15,32.08,821.7
442.05,83.37,21.47,891.96
370.66,39.98,90.19,938.3
69.06,9.15,12.62,205.89
130.92,24.34,54.83,477.08
73.57,13.28,43.99,329.56
527.31,74.11,98.33,1408.13
285.77,41.2,15.64,652.75
431.43,60.77,42.8,1008.01
730.67,104.89,97.1,1474.41
236.97,42.34,87.22,733.78
357.79,56.52,82.62,937.71
616.66,86.96,29.5,1211.93
221.6,40.44,21.23,505.8
107.73,18.62,68.52,471.97
267.31,46.6,93.29,863.52
170.92,30.67,57.89,529.52
747.27,105.46,59.3,1486.03
656.09,93.93,31.6,1146.95
525.05,84.74,78.1,1167.42
703.6,110.42,22.77,1184.68
652.75,97.75,35.75,1198.53
189.93,29.43,45.42,563.84
719.42,118.13,53.22,1371.33
454.51,63.44,28.03,1102.97
655.58,102.71,15.91,1265.84
