Property_Age,Distance_to_Tech_Hub,Sale_Price
77.5,38.1,684100.56
11.0,95.1,413634.22
47.7,73.5,456709.35
61.9,60.3,624533.95
100.8,16.4,870137.54
106.0,16.4,798132.89
112.3,6.8,909101.47
36.5,86.8,402871.22
54.8,60.5,619005.9
29.4,71.1,626022.29
111.6,3.0,877565.97
24.8,97.0,378916.62
37.6,83.4,451009.82
77.4,22.0,895854.83
82.1,19.0,892344.83
103.3,19.2,810084.48
81.6,31.1,775085.06
69.2,53.0,606233.45
70.9,43.8,751146.07
83.4,29.8,795300.9
64.0,61.6,655526.64
91.5,14.8,896073.13
84.0,29.9,764222.93
71.8,37.3,697624.03
64.1,46.2,630428.58
36.0,78.7,434677.0
93.5,20.8,857482.62
58.5,51.9,688086.88
68.9,59.6,521813.19
96.0,5.6,998982.42
53.1,61.1,585303.96
89.5,17.9,883798.63
117.8,7.4,969420.6
26.5,94.9,423316.53
33.4,96.6,349716.94
22.2,81.0,471669.23
84.6,31.2,695414.45
109.3,10.7,867290.11
49.0,68.7,543726.88
80.5,44.6,642837.61
93.1,13.1,903988.42
79.1,50.0,644747.54
129.0,4.4,897720.12
24.5,91.0,396915.81
81.6,26.6,830617.08
64.6,66.6,555753.76
97.1,31.9,707264.34
57.5,52.5,721476.74
56.2,55.1,642689.44
89.8,19.3,866726.01
9.3,97.0,433886.54
30.8,77.7,525725.16
15.3,94.0,455343.83
21.7,89.6,451395.89
55.5,60.2,583005.2
29.3,92.3,417729.44
116.7,9.8,842724.24
81.7,20.4,877815.19
114.9,5.5,925023.84
78.0,33.2,770067.35
74.0,39.5,731077.65
91.7,27.9,718475.61
24.0,83.0,465626.36
81.1,36.3,750890.41
85.7,28.8,804427.61
65.7,54.7,589737.11
99.4,15.0,932145.65
62.2,80.4,397658.5
96.1,8.4,979573.9
15.9,98.7,395756.51
34.1,77.5,486409.88
85.8,20.7,933950.29
102.2,1.5,935412.79
48.3,81.7,486255.61
60.3,71.0,551544.17
38.4,73.2,510925.52
32.1,77.4,572739.98
107.2,8.3,908921.22
71.6,36.5,776365.94
105.1,12.5,900433.81
34.2,86.4,434596.31
38.4,62.7,653966.82
95.1,33.8,771484.24
121.4,7.3,828929.05
75.3,31.8,847348.43
76.2,33.2,715456.83
47.0,73.2,561552.27
55.6,64.1,620846.29
36.6,88.8,372419.28
87.1,47.7,627317.82
96.7,12.8,859703.81
37.6,71.6,543379.45
27.5,76.3,522095.15
51.8,56.6,675093.08
40.1,77.3,553655.23
83.0,49.9,690644.46
57.3,52.8,640812.09
73.2,43.3,698530.69
106.7,3.5,891188.67
111.4,11.7,851573.57
131.6,4.1,942564.18
47.1,64.0,658411.98
76.2,32.1,741263.13
74.2,51.3,617057.52
35.1,90.8,402041.64
105.4,25.7,795056.73
78.4,41.6,677844.26
38.2,75.8,534190.99
94.6,23.7,802597.02
113.3,8.6,903797.57
91.5,29.7,801392.28
99.8,17.0,864953.78
36.9,93.0,364362.65
48.8,81.0,450005.41
66.5,63.7,553839.08
37.9,87.3,411122.85
35.8,80.6,473496.6
93.9,19.5,920294.91
41.6,89.4,424253.89
52.9,54.4,647271.23
40.8,80.9,498697.94
25.3,89.7,418293.16
81.1,32.5,824959.56
112.1,11.9,895466.78
90.7,23.6,825779.33
71.5,43.3,728621.19
22.6,82.0,436064.61
39.9,86.2,385487.8
114.9,1.7,908866.1
85.2,51.6,622755.94
68.8,42.3,793049.29
91.5,23.0,922339.23
100.9,12.9,920761.01
94.8,34.4,755056.52
24.1,94.3,324905.63
83.1,33.0,748130.66
69.0,52.4,611697.04
48.3,70.6,513720.88
72.2,37.0,752807.07
24.5,97.2,354554.73
34.1,96.3,282405.22
76.4,25.9,869702.74
66.1,50.2,623019.75
75.3,30.8,812693.18
95.7,29.2,858027.28
90.6,4.7,944847.15
49.2,61.3,509616.35
68.1,50.8,646271.21
120.2,6.1,954930.25
83.6,28.6,882415.7
22.6,90.9,378228.41
106.6,24.7,809001.74
81.7,15.3,895211.39
43.5,49.5,713112.08
25.7,98.6,465781.2
82.5,25.0,775148.75
39.0,67.5,591817.44
48.3,76.4,510858.48
90.4,24.5,866493.51
38.6,73.1,542021.7
63.5,37.4,785982.82
61.5,63.6,552575.59
59.2,63.7,582700.52
60.4,54.0,633197.33
119.5,9.9,906310.27
24.0,83.7,467708.61
65.3,32.8,822499.72
85.6,19.5,871982.59
105.0,5.0,994725.95
58.9,59.5,604187.37
46.3,68.1,491814.42
111.1,2.6,1007054.14
51.0,51.7,648278.78
103.4,23.4,779750.95
50.8,64.9,555609.51
104.7,18.3,899405.49
51.0,69.4,457420.94
79.2,39.3,852796.72
31.3,93.7,429682.06
101.3,14.6,889365.03
85.1,34.8,749403.26
112.3,12.2,888989.07
28.7,92.5,423137.53
38.0,87.9,446917.65
85.2,26.5,839494.32
64.7,66.3,543482.68
29.5,81.9,477823.32
77.6,56.0,590948.0
61.5,53.4,641707.3
73.2,24.9,899317.37
102.1,10.2,937833.7
22.3,89.8,319094.46
37.3,90.1,430546.56
46.2,63.7,606044.25
74.4,34.6,773878.83
59.1,35.6,781705.24
39.9,72.9,582219.04
4.9,89.8,509532.37
14.2,88.8,430069.3
47.2,78.2,496186.19
59.8,64.6,525138.7
105.9,9.3,858461.01
85.0,17.0,868863.13
28.6,90.0,457717.41
55.0,61.0,639770.9
96.7,1.9,1011845.56
115.1,11.0,910452.63
58.8,66.7,569642.5
106.4,1.5,949453.22
95.0,16.9,891835.2
62.3,55.3,664835.92
27.0,69.5,620121.08
48.5,65.5,626126.26
82.3,23.2,878115.34
35.6,71.5,570754.72
85.2,24.5,876604.53
98.1,33.2,737055.08
49.0,74.9,467511.73
45.5,65.3,579956.23
39.2,85.1,411298.91
64.5,66.1,515162.97
67.7,57.3,600698.76
101.3,10.3,883413.02
69.9,37.4,748716.31
92.5,27.3,721309.73
91.3,25.2,824701.2
31.4,97.3,358710.48
80.4,39.9,687129.64
40.1,89.3,431640.6
47.5,63.5,634614.62
51.5,79.7,395294.55
66.3,50.8,630820.37
78.5,58.1,547425.48
58.3,49.8,647680.27
109.1,20.3,852419.57
46.7,72.5,518647.63
77.6,28.8,803909.69
102.1,3.4,888398.08
48.4,64.9,609432.77
97.6,18.5,807035.81
30.5,94.1,388487.12
18.4,95.4,410847.72
27.3,91.6,467169.67
97.5,37.6,651398.37
125.0,2.5,808981.38
30.8,92.9,402625.57
71.3,43.4,782240.95
24.2,96.7,427624.5
29.4,96.4,378446.08
22.9,85.4,451013.2
80.3,30.2,830499.7
58.1,39.1,731856.85
37.3,85.3,462442.16
87.3,32.4,786548.16
89.2,17.8,921837.48
75.2,56.1,710942.05
13.4,93.7,439400.15
32.4,69.9,555505.86
60.6,57.4,618384.44
110.9,10.6,822448.07
71.1,61.9,534841.49
16.3,99.0,358911.33
107.4,14.9,845279.28
62.5,52.3,662513.62
29.2,87.9,405824.16
51.9,74.3,546284.25
53.5,70.0,532933.56
30.7,70.5,573771.1
91.8,36.6,710497.74
96.7,30.1,772199.13
30.7,81.1,522529.31
40.9,81.2,433951.12
36.8,86.8,405385.75
30.3,91.4,395890.43
58.0,51.6,617109.3
57.7,50.7,646631.45
37.7,80.0,465268.67
62.9,65.3,586373.13
52.0,70.5,542563.18
34.5,79.8,500498.34
37.5,89.1,446116.67
50.5,34.5,817814.55
87.1,38.2,735910.46
83.3,10.3,946779.29
54.0,58.2,636714.96
94.7,4.6,950821.68
54.7,47.1,616356.88
72.4,54.7,612137.02
78.9,29.4,864184.93
59.9,59.5,641265.08
105.9,4.0,994633.26
110.5,4.7,990780.09
36.6,82.4,470897.64
64.2,36.7,786267.46
107.7,13.6,851178.85
57.6,52.7,650479.3
24.9,77.2,556940.44
85.6,22.4,898046.73
68.6,62.7,555876.78
110.0,9.4,886401.72
101.0,6.1,949071.92
58.3,53.6,678687.95
57.7,54.5,590636.67
73.1,64.1,449163.33
48.2,72.9,498464.96
26.5,97.6,317392.66
73.4,52.1,615963.57
82.7,33.0,764882.32
35.7,79.7,472765.62
83.0,27.8,869588.86
69.3,44.5,718861.16
101.7,8.8,938406.89
114.1,3.5,968575.41
23.8,96.3,336334.16
41.9,83.8,487587.07
46.3,69.9,545194.79
73.4,41.5,748031.2
73.7,18.2,864521.67
104.3,16.5,797302.04
90.3,25.8,845986.73
70.1,55.4,631780.85
16.5,71.7,557024.07
71.2,66.4,492016.83
82.8,28.7,849785.76
35.1,95.5,317963.56
33.0,74.1,607383.91
65.8,55.9,585257.18
44.1,61.6,644929.79
65.5,42.5,715580.12
106.2,25.5,807589.59
75.5,36.2,737353.06
43.8,76.0,497773.68
116.5,2.4,949200.69
103.7,12.5,852553.48
106.5,5.6,972188.17
109.1,5.0,920972.9
56.9,85.7,391505.99
45.8,70.7,503273.21
68.9,47.9,576236.78
110.9,10.7,885095.19
76.4,49.7,746440.27
78.8,47.9,690826.59
100.1,18.1,853943.67
59.0,44.0,719846.32
89.9,40.5,697427.8
42.8,62.0,640602.88
55.5,63.9,530694.3
