Home_Value,Square_Footage,Property_Age,Distance_to_Transit,School_District_Rating
329705.74,1941.0,5.5,6.45,Excellent
183343.63,1364.3,35.2,2.15,Average
354551.73,2386.9,52.4,0.75,Good
325773.17,2192.1,50.2,5.25,Excellent
359743.12,3069.8,66.5,12.69,Excellent
381678.41,2378.9,35.9,7.76,Poor
206608.05,1702.1,38.5,6.29,Good
152588.09,1242.3,36.6,7.78,Poor
364536.13,2568.1,22.3,11.38,Excellent
352447.52,2009.4,6.3,0.17,Poor
324018.26,2155.6,32.6,11.33,Good
317875.07,1834.8,58.5,5.46,Average
223159.94,1000.1,74.5,11.42,Poor
424342.4,2744.9,45.9,4.67,Poor
361271.76,2489.8,35.4,13.5,Excellent
365420.85,2333.1,39.3,10.09,Average
446038.69,2598.4,1.5,3.41,Excellent
145388.81,1452.5,79.3,2.96,Average
370918.7,3381.3,31.8,13.34,Poor
313945.27,2008.8,41.7,1.46,Poor
321403.36,2415.9,48.0,7.92,Good
390670.08,2647.7,38.3,6.64,Poor
167663.46,565.1,79.5,4.87,Excellent
486497.65,3205.2,18.8,10.51,Excellent
280707.86,2233.7,74.2,10.8,Average
186154.17,1180.5,2.9,3.44,Good
324970.87,1983.2,57.7,7.9,Poor
471031.2,3837.9,16.3,7.84,Average
309293.7,2056.7,19.0,1.29,Poor
182803.29,1345.6,20.3,14.74,Average
312523.0,2101.1,64.3,9.13,Excellent
337146.37,2431.2,48.1,6.18,Average
241169.85,1827.8,20.2,12.63,Good
274472.81,1838.2,5.5,3.15,Poor
443048.01,2908.6,39.8,1.2,Average
458182.79,2700.2,38.1,0.83,Good
263200.99,2196.5,46.6,3.15,Excellent
288380.7,2158.6,24.3,6.85,Poor
318214.08,2287.8,63.7,10.2,Average
301818.65,1940.0,37.3,6.08,Average
342909.85,2193.9,67.7,4.64,Good
319447.72,2281.9,5.9,8.23,Good
476359.19,3086.1,37.2,1.28,Poor
251071.45,1500.1,29.1,1.0,Poor
379527.5,2764.0,41.8,11.25,Excellent
461973.81,3203.7,49.9,8.92,Good
246948.83,1685.9,22.1,11.18,Good
340661.75,2311.6,21.7,7.16,Excellent
257353.47,2351.1,76.5,0.94,Good
295995.37,2102.7,11.2,8.94,Excellent
288160.45,1913.0,56.7,4.31,Excellent
204137.86,1600.2,43.0,13.72,Poor
160278.65,872.8,59.8,9.08,Excellent
395970.91,2544.5,16.9,1.19,Excellent
21652.58,236.5,6.6,12.46,Excellent
350785.3,2505.8,10.1,7.52,Good
349274.22,2748.9,36.1,5.7,Poor
248329.87,1580.2,77.5,5.93,Good
473136.95,2537.7,24.4,2.59,Average
405706.76,2629.0,48.0,3.3,Excellent
435536.62,2629.7,9.7,1.92,Average
326074.35,1933.3,37.1,12.4,Good
332693.35,2410.2,41.4,0.64,Good
361346.07,2321.5,40.5,3.69,Good
219248.46,1715.4,57.7,2.71,Poor
205816.49,1884.1,21.1,5.8,Good
338276.71,2589.6,16.9,0.78,Poor
267302.01,1875.9,33.1,12.23,Good
302152.85,2470.4,73.9,7.56,Excellent
310053.65,2256.8,47.9,13.7,Excellent
213245.74,2059.5,69.6,8.92,Poor
305939.17,2268.8,21.1,4.28,Good
356932.89,2404.7,52.2,0.96,Excellent
360106.32,2243.4,0.6,11.05,Good
333929.01,2309.9,76.1,11.9,Good
364969.93,2615.3,33.0,0.9,Excellent
238318.81,2101.7,76.3,7.08,Good
309175.11,2329.2,56.2,14.99,Excellent
309301.8,2086.7,73.8,7.87,Poor
344118.84,2449.4,40.4,13.79,Average
241710.28,2132.9,58.6,12.96,Poor
440557.7,2633.7,0.1,10.74,Average
426921.25,2870.6,1.9,5.28,Excellent
150680.67,1368.2,21.9,2.24,Average
412705.59,3043.9,1.5,6.62,Excellent
367135.89,2915.6,78.2,8.98,Poor
279676.41,1737.3,40.4,3.43,Excellent
493709.94,3642.0,41.6,8.22,Average
329877.57,2344.6,15.9,0.43,Excellent
307224.57,2518.8,58.3,5.18,Poor
460597.34,3226.1,38.8,11.36,Excellent
262859.81,1826.6,37.8,10.39,Average
176788.99,1538.6,22.6,7.46,Average
266520.61,2006.7,68.7,12.69,Poor
314427.37,2307.8,33.2,0.76,Excellent
292676.34,2439.1,10.6,9.3,Good
325926.43,2625.8,13.8,13.47,Excellent
372059.97,3222.6,17.8,9.01,Good
338946.12,1736.9,8.9,14.88,Excellent
232686.31,1474.6,21.4,13.38,Excellent
389392.54,2392.1,33.0,9.28,Average
270433.94,2186.7,26.3,5.37,Poor
358831.25,2158.5,1.5,1.1,Good
118872.43,1382.6,58.5,6.12,Poor
394326.17,2605.0,8.4,0.3,Poor
398163.92,2594.4,22.6,3.73,Good
290713.58,2030.3,39.7,1.13,Poor
504854.53,3831.9,42.5,12.5,Average
209434.43,1489.6,65.8,0.85,Poor
341660.42,2814.3,30.3,0.5,Poor
350413.74,1854.4,0.6,8.4,Good
262893.69,1687.4,67.5,13.84,Average
213710.29,1498.4,32.1,12.24,Average
426099.9,2820.2,17.9,8.71,Excellent
294727.66,1836.4,52.8,14.08,Poor
270022.2,1910.5,50.4,14.37,Poor
233002.24,1958.8,71.0,5.88,Poor
331423.03,2458.4,36.4,5.27,Poor
334694.33,2908.2,44.0,9.67,Good
363071.66,2415.5,13.5,3.85,Poor
490266.94,2973.5,1.7,13.67,Poor
368296.0,3034.6,48.8,3.22,Poor
220210.54,1969.0,65.1,14.07,Good
318518.99,2424.6,79.1,5.2,Good
336766.62,2766.5,64.7,2.01,Excellent
337259.29,2682.2,33.5,1.89,Poor
361915.79,2309.2,57.5,13.1,Poor
424111.92,3184.2,41.8,7.62,Good
309740.95,2104.9,14.8,2.84,Average
330192.64,2118.7,23.0,9.06,Excellent
385028.39,2466.8,58.5,9.78,Good
350581.19,2153.1,9.6,4.75,Poor
231012.37,1653.1,48.0,0.73,Average
433496.58,2909.3,40.3,0.35,Average
377120.32,2278.2,12.2,11.79,Average
448707.62,2843.8,8.9,3.33,Excellent
419756.49,2977.3,3.1,2.25,Poor
261247.49,1539.6,25.9,4.42,Average
341132.67,2604.7,75.1,13.35,Poor
349830.35,1983.9,8.4,10.17,Average
298327.07,2430.8,48.6,9.73,Good
384173.5,2649.2,5.2,14.09,Poor
260977.49,1849.1,58.5,13.62,Average
233191.61,1695.0,61.4,12.13,Excellent
330512.41,2281.0,57.4,8.31,Average
280542.68,2091.9,0.1,13.88,Average
343524.04,1971.8,41.6,9.54,Excellent
417971.57,2477.2,35.1,13.42,Average
352412.25,2186.4,32.2,1.29,Good
392821.96,2566.2,67.0,1.28,Good
365166.77,2660.2,7.3,11.94,Good
348697.95,1868.2,12.5,8.62,Average
248365.15,1964.0,77.8,1.57,Good
343798.88,2459.2,72.2,7.05,Excellent
284628.85,2416.7,74.3,4.55,Good
295829.22,2375.2,77.8,7.65,Good
455919.93,3138.1,23.2,8.84,Poor
448795.53,3176.6,34.0,10.52,Good
217164.99,1292.5,15.1,11.42,Poor
379556.82,2298.2,1.3,5.95,Average
372141.32,2134.7,40.6,7.37,Good
317745.82,1685.2,12.2,8.32,Good
240001.43,1314.5,18.3,12.49,Good
219775.9,952.2,17.1,3.82,Poor
322181.06,2084.1,39.5,8.39,Excellent
324309.45,1975.9,14.1,6.71,Poor
308033.31,2374.9,79.9,4.71,Poor
300293.29,2064.7,34.6,0.55,Average
392415.95,2685.9,62.9,4.89,Good
389595.93,2901.4,78.5,1.06,Poor
345525.4,1816.4,10.2,12.93,Excellent
263407.0,1901.1,68.6,2.28,Average
405210.48,3008.7,75.2,1.25,Good
323738.78,1718.9,67.2,11.1,Average
443697.06,3240.5,3.4,7.25,Average
440796.85,3453.1,44.9,1.29,Average
197844.3,2023.2,73.8,4.1,Excellent
319690.8,2289.7,70.5,12.1,Excellent
293982.13,2466.1,58.7,1.61,Average
165371.16,1483.4,65.9,7.67,Good
476722.85,3449.2,20.1,0.5,Excellent
174192.9,955.6,41.3,5.34,Average
322304.15,2194.8,1.9,2.22,Good
351614.88,2009.0,37.3,2.39,Average
584770.65,3418.7,2.0,1.63,Poor
307876.21,2274.9,50.8,1.47,Average
123171.71,1360.1,74.2,1.32,Excellent
400743.65,2536.7,43.8,6.52,Average
381186.49,2406.7,52.6,1.84,Poor
412808.14,2994.8,6.5,13.01,Good
226070.62,1177.8,60.4,8.21,Average
347323.91,2812.7,73.4,4.12,Good
511959.49,2864.9,27.8,5.42,Poor
379450.52,1825.5,16.7,1.29,Poor
163094.54,1662.6,58.9,7.65,Poor
309953.44,1827.4,54.2,5.38,Excellent
244028.48,2858.6,46.6,10.57,Average
293977.03,2699.4,47.9,5.4,Average
307038.04,1927.0,37.4,14.65,Poor
344800.49,2742.5,77.3,14.39,Excellent
413737.79,2983.7,54.5,10.84,Good
261605.0,2027.0,78.8,8.49,Poor
403198.23,2919.7,11.3,2.63,Good
274970.44,1966.7,4.8,1.2,Average
331419.27,1994.4,0.8,5.35,Good
341480.92,2127.4,11.0,3.4,Excellent
349165.99,2384.0,67.4,12.74,Good
139783.76,968.9,49.8,9.02,Good
239876.16,1569.4,25.3,11.85,Poor
134166.96,796.7,8.5,2.03,Poor
263374.05,2582.4,77.2,3.11,Excellent
360448.35,2959.6,77.2,3.78,Poor
406658.57,3076.0,66.2,14.16,Average
163945.19,1022.8,22.0,13.83,Poor
293847.45,2231.7,77.9,9.5,Average
237214.66,1489.4,48.4,5.99,Average
199199.01,1388.8,68.4,3.94,Average
281839.85,1855.8,78.0,4.05,Average
181188.93,1419.3,75.0,3.2,Good
476294.91,3426.9,67.5,3.51,Excellent
223675.81,1310.1,37.9,3.37,Average
304122.81,1602.8,25.6,8.55,Poor
316884.04,2091.3,28.6,5.22,Good
252136.85,2227.3,53.9,5.93,Good
296922.7,2210.3,68.2,0.8,Poor
287354.86,1479.2,16.9,6.14,Poor
392089.26,2338.5,56.2,12.09,Good
301483.77,2357.6,61.4,0.98,Good
428223.2,2617.5,30.9,6.34,Average
381571.44,2086.9,36.7,5.87,Excellent
434091.22,2764.7,38.0,13.86,Poor
240128.35,1330.7,27.5,6.14,Good
397340.13,2978.5,74.0,13.49,Excellent
368303.96,2705.0,12.8,12.95,Average
262724.08,2388.9,62.4,12.4,Average
299135.73,2473.7,73.9,11.68,Average
372870.07,2779.4,2.5,1.87,Poor
393801.16,2705.3,7.4,10.27,Poor
247435.7,1568.0,54.7,12.9,Average
471597.67,2860.1,15.2,2.95,Good
260333.38,2327.8,54.9,14.51,Average
327209.49,2894.1,53.6,10.39,Average
424556.44,2436.6,9.4,8.79,Excellent
226282.75,1605.5,50.3,1.5,Excellent
257490.24,1540.3,0.9,6.33,Average
