employee_id,department_raw,department,office_zip,tenure_years,age,year_hired,regional_unemployment,regional_cpi_inflation,performance_rating,bonus_pay,base_salary,retention_risk
E100000,Sls,Sales,91586,2.3,27,2024,4.3,3.54,3.0,3571.89,64113.01,0.275
E100001,ENG.,Engineering,70260,2.2,38,2024,3.52,3.95,4.5,9351.25,113883.39,0.196
E100002,Sales ,Sales,33731,1.2,44,2025,4.38,0.7,2.5,3046.72,,0.333
E100003,SLS.,Sales,62903,3.2,31,2023,6.59,3.1,,,58762.73,0.222
E100004,ENG.,Engineering,85512,7.6,40,2019,6.33,2.99,3.5,8669.21,108171.29,0.189
E100005,SLS.,Sales,77534,4.5,37,2022,4.83,2.71,3.5,3645.26,,0.279
E100006, sales,Sales,65898,3.4,39,2023,2.37,2.47,2.0,3737.37,84434.8,0.344
E100007,Sls,Sales,47074,6.1,48,2020,4.5,4.9,3.0,0.0,,0.244
E100008, engineerING,Engineering,78926,7.5,46,2019,6.83,4.86,4.0,2159.01,129860.8,0.178
E100009,MKTG.,Marketing,77028,6.3,36,2020,6.13,2.89,3.5,8939.36,87466.97,0.134
E100010,Engineering,Engineering,99214,0.6,34,2026,5.96,4.2,4.0,4101.59,82249.81,0.205
E100011,SALES,Sales,20742,6.1,40,2020,5.3,4.25,4.0,5668.6,83956.9,0.203
E100012,marketing,Marketing,27221,5.0,36,2021,5.57,4.28,3.0,530.53,,0.147
E100013,sales,Sales,44089,1.9,27,2025,4.62,3.9,3.5,0.0,53023.91,0.287
E100014,Eng,Engineering,44262,5.0,32,2021,4.66,3.85,3.0,2493.96,106908.06,0.192
E100015,engineering,Engineering,80358,7.7,44,2019,4.73,4.18,3.5,6998.42,107823.52,0.161
E100016,Mktg,Marketing,53746,2.4,40,2024,6.59,3.44,,,78228.81,0.112
E100017,engineering,Engineering,92920,6.6,37,2020,5.89,4.97,3.0,4105.4,123621.91,0.178
E100018,SLS.,Sales,71969,4.6,37,2022,2.0,2.94,3.5,2503.05,87286.56,0.265
