subscriber,pre_spend,account_age,support_tickets,post_spend
1,57.450712295168486,37,2,85.16964788306782
1,47.92603548243223,41,0,72.80240376947738
1,59.715328071510385,41,0,79.85890466248709
1,72.84544784612038,34,0,80.3354661643801
1,46.48769937914996,34,2,67.95622717268729
1,46.487945645762295,51,1,63.57342557816431
1,73.68819223261087,55,1,89.51507072168076
1,61.51152093729363,59,0,81.23104851385915
1,42.95788421097572,3,0,69.12686123277562
0,58.13840065378947,17,2,61.58169945144337
1,43.04873460781307,14,2,59.693282762284184
0,43.01405369644615,14,0,52.040347485248944
1,53.629434073490515,46,1,80.22448482254045
0,21.300796330133032,38,3,35.22332045296593
0,24.126232512304508,35,0,41.97555441197572
0,41.56568706138541,1,1,52.973270056468955
1,34.80753319498364,48,0,55.86973487109176
1,54.71370998892911,29,0,74.44317021910146
1,36.37963886718184,4,0,63.06296496871521
0,28.815444479970626,33,4,46.421466388824214
0,71.98473153382331,17,0,71.5438052361961
1,46.61335549270196,28,0,68.96584709053255
1,51.012923070318855,50,2,78.9630716813362
0,28.628777206798148,26,0,44.42757609554437
0,41.834259132122256,8,1,59.12178258723116
0,51.663838845647994,34,1,70.03339727235115
1,32.73509633866546,59,0,57.007955230833026
0,55.63547027518508,18,1,64.19857190730968
0,40.99041965121793,31,1,54.9413776759593
1,45.62459375310085,59,1,72.93606829546542
1,40.97440081655905,27,0,61.983911221241
0,77.78417276763406,16,1,76.49390767004313
1,49.79754162893099,58,2,71.63691217864914
0,34.13433606566149,10,1,51.94882009376749
1,62.338173681547836,40,0,81.86853908293054
0,31.687345250434667,12,1,47.544310336391725
0,53.132953925071334,22,1,62.313585603459074
0,20.604948141803366,16,2,35.309417498138636
1,30.077209266523543,12,2,60.41565093535627
1,52.952918538036855,11,1,63.443132437860605
0,61.07699869993115,20,0,69.31994464793252
0,52.57052421784956,51,4,57.14490965262033
1,48.265275764176394,1,0,68.4485460783419
1,45.48344456616067,27,3,67.70650980627781
0,27.822170144488588,3,0,44.787132009901505
0,39.20233687407937,12,1,52.07085710831745
1,43.09041843560319,30,1,71.42517548421586
1,65.85683339328374,9,1,83.21346333560969
1,55.15427434352692,53,0,68.81624013430903
1,23.55439766955899,54,1,54.017397618087664
1,54.86125954092192,37,0,75.57197846524382
1,44.22376579375525,1,0,60.58054113204874
0,39.84616999541062,42,1,55.53135339170711
1,59.175144332613016,49,2,74.54863531701639
0,65.46499283743927,4,1,77.04838048859014
1,63.96920178674298,15,1,74.86761541517286
1,37.41173715166042,51,0,59.30418740594954
1,45.36181436223178,27,2,68.44039332200066
0,54.96895147105346,8,2,58.64167900961952
0,64.63317690683539,23,1,74.3225694517563
1,42.81238643232065,15,2,69.41390417923968
1,47.215115350042744,27,3,66.75419544912205
0,33.40497538990958,31,2,48.68890581882793
0,32.05690063878994,39,3,41.66875179916974
1,62.18788733591297,47,3,94.05707706821222
0,70.34360042856234,8,1,76.306018630579
0,48.91984817629499,30,0,60.79210243746701
1,65.05299346838036,58,2,80.70253373434873
0,55.424540375714514,55,1,61.036671535547356
1,40.323203680923136,42,0,67.08065433543503
1,55.42093408262621,18,0,62.30238956535722
1,73.07054849698955,4,1,79.33677944111858
1,49.46260941335073,47,0,71.17131214146998
1,73.4696548372101,43,1,86.93717626214502
0,10.703823438653835,22,3,32.790002658496185
0,62.32853756562836,3,1,67.27298254981048
0,51.30570602357257,15,0,52.686993783626676
0,45.51488974301199,35,0,56.08015730850567
1,51.37641164803254,47,1,69.76120957894526
1,20.186466280986608,38,2,40.73678412408143
0,46.70492168243732,33,0,61.29531413457595
1,55.3566885726762,14,1,76.07009358903483
1,72.16841067112274,48,1,82.80549223909706
1,42.22594672589529,1,2,56.11614842535763
0,37.87259595660218,53,0,52.07379108664649
0,42.47364434623195,49,2,49.197243752605395
0,63.731031765531114,26,1,66.18781005336587
1,54.93126664489527,8,2,73.39970701154164
1,42.05359694349442,50,0,63.88036961655682
1,57.699011496700344,16,0,78.67391898321901
1,51.456163240220604,38,1,76.44971995312373
1,64.52967485799334,10,0,79.30504734043656
0,39.469203591839715,42,2,54.513481746573085
1,45.085067801033475,37,0,65.19705750811701
1,44.118377703017636,26,0,71.17954855767346
1,28.04727577801822,28,1,48.19670941033281
0,54.44180415596864,12,2,66.17462088850955
0,53.91582908269834,20,0,58.997192493846036
1,50.07670184963691,49,2,65.52585206249378
0,46.481192999372794,14,0,54.902735359999
0,28.769438869243785,46,2,32.50469947225846
1,43.69032015851961,35,0,69.88488491283337
1,44.85928225209846,29,2,61.52253674217381
1,37.96584096167572,12,1,58.068864585042846
1,47.580714325009865,52,0,63.228275405183076
1,56.060762852218076,18,0,79.59799763340527
1,78.29278851815795,44,0,93.96969815283175
0,52.61866719247759,2,1,64.84917589166633
0,53.86325586084146,2,0,63.93962851434871
1,48.883311263507494,59,1,69.94829946052793
1,21.21843177051438,17,2,48.63572442585498
1,49.602291868261744,10,1,74.42799567963952
0,50.9034531491154,18,1,54.985806697420315
0,86.94863168727929,22,2,86.70527003546003
1,47.114585528283165,19,0,62.43483833210418
1,54.523210135004184,58,0,76.61818964393817
1,49.47932345442135,53,2,71.78976275140865
0,32.46982943570702,1,2,49.56642764166027
1,67.14234221772531,24,0,70.96274501457742
0,61.27899549030161,36,1,66.85959564346814
0,61.865479205645705,25,2,57.59067067417262
0,36.35918817807892,36,1,58.843516056279526
1,71.04191466404149,31,0,87.46861802046212
0,28.972234058115788,31,0,39.09051119955329
0,58.80285640700406,2,2,66.43096383720766
1,82.85683438714968,19,0,96.19481908487143
0,35.14195512303968,53,1,57.99869203052577
0,41.50553405595842,12,0,52.2426280879309
0,51.49477047631462,10,0,62.12378129533042
0,42.44786518825701,31,1,50.99293225553444
0,26.74004853400801,45,1,51.93953825874744
0,51.02844462209041,22,2,68.68462257249172
0,34.06544429410843,23,2,37.47173979115544
1,57.10388645952772,52,1,79.9514574694034
0,36.20863648649295,23,1,51.207133125478435
1,73.24901607526309,15,0,84.71991391827163
0,38.251200614956446,26,2,45.63452672113803
1,45.16907725691487,3,2,55.98518001929861
1,62.202758260545046,23,1,82.97582254509979
0,31.53703525349067,20,3,38.43254962366723
1,53.41189901906194,45,0,74.27877491750081
1,69.60714131423643,40,0,80.24357500080943
1,25.88775148158159,57,2,44.73384196803943
1,52.769507877984566,39,0,72.46687533164338
1,53.89824191372635,56,0,79.37167465356424
1,61.72734307665966,8,1,75.54424450183207
0,31.445739336828773,18,0,44.860633054844214
0,30.193150803735854,41,1,44.668919877848744
0,57.829123484253465,6,1,65.86948003911652
1,54.45477009849779,27,1,75.11289183489073
1,53.75739275518815,36,2,73.08740248187372
0,55.19672314245464,15,0,55.4505119664134
0,39.79962917632264,37,0,58.36298181193092
0,53.48380545741505,58,2,64.76149116007556
1,54.39608709948022,5,0,72.45078228182565
0,39.28472872960448,39,3,46.43029635908263
0,77.98661766717134,9,2,80.5636665664518
0,57.10749381367681,7,0,70.05617775594138
0,32.13044754196027,41,1,39.04985378336285
1,59.84830412950745,20,0,73.68210307466629
1,35.379774946590175,10,3,57.87672160639741
1,61.806269056136784,26,1,71.40847081795589
0,67.37893368511106,4,1,69.04962119695281
1,37.68976522472434,38,0,58.77257814878755
1,64.45064193866483,24,1,69.30354233275773
1,56.191713904047475,14,0,73.7505594829998
0,62.33090239991735,41,1,63.290926931838584
1,78.4518947398092,1,0,98.67666043563925
1,46.31917825995694,17,2,64.28306587659671
1,38.693957534637654,45,2,64.64709164362789
0,36.65728355561715,24,1,51.25521538821481
0,37.762845725518424,27,1,46.26547444962501
0,48.843474358788434,7,2,60.83430237613441
1,55.117279622249654,9,0,82.59494327674103
0,54.150361989950284,43,3,63.56841374876528
1,62.40774873554036,35,0,78.1510144605248
1,50.19502837816861,58,1,72.0590540972446
0,71.80301115735975,12,0,79.86335844631353
0,46.03014750143066,21,1,54.976213726741655
0,90.80253749884429,3,1,78.12026823039483
1,59.385010216475095,15,1,73.05300528733542
0,37.14263665375576,21,1,43.19210082125866
0,33.93661252908332,10,0,47.03179816323005
1,57.23708622864778,33,0,81.67120189018306
1,46.64805822011223,46,0,69.755985962992
0,60.71000741138138,59,2,66.07871546809733
1,57.09856436860317,52,4,76.98927379333473
0,48.90756631014691,6,3,59.02705138386518
0,37.29809422897392,2,0,52.441127256731136
0,27.277291629712032,29,2,44.70267457860149
0,43.302275718994686,55,1,61.152917868629224
1,62.84598191485209,40,0,79.58036008876653
1,53.21140616195306,33,0,63.579914861817954
0,31.31391831932018,4,1,38.42576177141564
1,52.59771388776773,59,2,72.16533906097773
1,55.77976069593255,4,0,73.27950200852439
0,36.74213845698301,29,1,53.004346385691505
0,52.305876589182915,37,0,67.0319703769068
1,50.87313077669,20,3,70.87931047239148
1,32.85544553254066,41,1,50.035204466776584
1,55.36681040522425,23,1,77.10321843849756
1,58.41176789552352,45,1,78.12511057218734
0,66.24576864762915,18,0,76.17032445234639
1,65.80703078052355,49,1,79.02122516194125
1,29.334959480643633,25,2,68.37185206143438
1,35.93262440127316,1,2,50.01921900751733
1,57.7255290081299,54,1,76.64779586339492
1,57.706789263683135,15,0,79.73852072363468
1,57.72571529459072,34,0,80.31419196458481
1,107.79097235982081,48,0,116.280603578357
0,58.56335766039751,20,1,69.95626605249191
0,67.03348460270898,54,1,78.15203412959671
0,64.31002645239803,37,1,71.98754289842563
1,59.77086876958697,27,0,78.95975497099899
1,45.27096133039482,22,1,69.4229698259193
0,61.38453830739901,51,1,69.21461983945566
1,38.40762178193643,5,2,67.39550590504484
1,46.44772089889987,34,3,72.1456216866507
0,42.71954678256345,39,1,52.64400559884041
0,51.22811209079484,3,2,57.39063266205237
1,84.71987850010262,17,0,101.64223059966865
0,21.99102211112378,24,0,38.02273501716275
0,60.2939028556177,24,0,65.27055364615167
0,25.809261932155223,3,0,38.24903907782367
0,42.9210220131585,45,1,57.577829176341986
1,66.33425895451049,7,1,80.74252368959007
0,50.96420028643194,25,0,68.00060914953745
0,33.83382833106041,56,2,42.07807653052465
0,39.27044436110047,3,1,48.91119462092512
1,60.19396623402014,15,0,73.50384025367404
0,39.04450052424295,29,0,45.14068659807836
0,53.246878843729625,50,0,58.616706504217504
0,50.68357759855721,29,2,58.00390335356454
0,40.22599478591275,10,0,50.08166727252695
